epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.21475,0.83455,2.97498,1.35753,0.00697,0.93567,0.35614,0.27863,0.64879,2.96689,1.27761,0.00024293,0.00024293,0.00024293
2,7.54749,0.73121,2.36141,1.25698,0.01285,0.91163,0.34643,0.24782,0.80121,2.80873,1.47154,0.000483645,0.000483645,0.000483645
3,10.6832,0.83192,1.92042,1.30859,0.88666,0.13017,0.45129,0.3001,1.16628,2.55974,1.81212,0.000707384,0.000707384,0.000707384
4,13.7529,0.88458,1.73786,1.36969,0.26032,0.21161,0.34784,0.25598,1.13334,2.38882,1.72772,0.000914146,0.000914146,0.000914146
5,16.6495,0.82476,1.49592,1.28606,0.83181,0.51632,0.55109,0.39614,1.0508,1.68641,1.81155,0.00110393,0.00110393,0.00110393
6,19.8899,0.82729,1.4958,1.26835,0.64827,0.49256,0.42999,0.28867,1.09753,1.83557,1.81146,0.00119322,0.00119322,0.00119322
7,22.7343,0.83934,1.34531,1.29175,0.50017,0.46592,0.53334,0.40132,0.96595,1.62361,1.64705,0.00114606,0.00114606,0.00114606
8,25.7378,0.83143,1.32663,1.29298,0.83936,0.48841,0.56753,0.41646,1.0109,1.74783,1.68609,0.0010989,0.0010989,0.0010989
9,28.5914,0.87396,1.26641,1.32802,0.83832,0.46887,0.55761,0.42844,0.9296,1.80864,1.57674,0.00105174,0.00105174,0.00105174
10,31.5541,0.79358,1.22488,1.23667,0.86938,0.54382,0.58175,0.41733,1.09837,1.66816,1.69151,0.00100459,0.00100459,0.00100459
