epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.20083,0.83455,2.97498,1.35753,0.00697,0.93567,0.35614,0.27863,0.64879,2.96689,1.27761,0.00024293,0.00024293,0.00024293
2,11.4211,0.71122,2.38847,1.24384,0.01147,0.94152,0.39762,0.26921,0.78865,2.82003,1.42088,0.00040112,0.00040112,0.00040112
3,14.5018,0.8042,1.92765,1.29753,0.88645,0.149,0.41174,0.29759,1.02073,2.58705,1.58925,0.000457451,0.000457451,0.000457451
4,17.5173,0.81464,1.6742,1.3923,0.94464,0.37799,0.57267,0.44988,0.84904,2.21612,1.43209,0.000411924,0.000411924,0.000411924
5,20.4298,0.73665,1.4704,1.23046,0.90617,0.55404,0.60908,0.48465,0.75987,1.77655,1.33326,0.000264536,0.000264536,0.000264536
