epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.389,0.83182,2.32313,1.35486,0.85059,0.49302,0.54356,0.42415,0.87437,2.66301,1.54615,0.00024293,0.00024293,0.00024293
2,361.373,0.84636,1.30487,1.29454,0.82887,0.48763,0.52881,0.34797,1.22976,2.38284,1.84769,0.00040112,0.00040112,0.00040112
3,532.553,0.80321,1.13074,1.26934,0.78862,0.54992,0.52951,0.39153,0.94519,1.64154,1.5088,0.000457451,0.000457451,0.000457451
4,694.809,0.79065,1.02013,1.30561,0.8422,0.51744,0.58203,0.42667,0.98622,1.42511,1.63058,0.000411924,0.000411924,0.000411924
5,884.992,0.71105,0.8815,1.19398,0.83987,0.54289,0.60121,0.47832,0.86427,1.17588,1.43623,0.000264536,0.000264536,0.000264536
