epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.2645,0.79537,2.87841,1.313,0.00601,0.93329,0.35473,0.28314,0.74107,3.4972,1.42607,0.00024293,0.00024293,0.00024293
2,154.86,0.79816,2.27915,1.28609,0.01066,0.93914,0.41871,0.28544,1.21704,3.46861,1.80175,0.00040112,0.00040112,0.00040112
3,231.736,0.80718,1.9145,1.29392,0.91565,0.29128,0.51562,0.42541,0.80421,2.93556,1.37886,0.000457451,0.000457451,0.000457451
4,307.581,0.84621,1.60446,1.37894,0.87389,0.4073,0.53441,0.42699,0.90631,2.74523,1.57631,0.000411924,0.000411924,0.000411924
5,382.703,0.73498,1.44928,1.22448,0.88695,0.54689,0.60281,0.48602,0.80401,2.36658,1.40304,0.000264536,0.000264536,0.000264536
