epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,3300.47,0.67003,0.85941,1.19082,0.9088,0.57807,0.62709,0.52099,0.76759,0.79168,1.27599,0.000735792,0.000735792,0.000735792
51,3363.07,0.6639,0.75084,1.19033,0.9319,0.58393,0.63639,0.52141,0.7727,0.73989,1.36735,0.000721645,0.000721645,0.000721645
52,3427.89,0.68631,0.73276,1.16141,0.92228,0.57791,0.65063,0.53297,0.78146,0.77506,1.37032,0.000707498,0.000707498,0.000707498
53,3494.54,0.84699,0.90821,1.33798,0.89358,0.60624,0.61423,0.51549,0.79923,0.78783,1.38668,0.000693351,0.000693351,0.000693351
54,3558.81,0.68693,0.77965,1.19839,0.92768,0.56488,0.61836,0.51796,0.81437,0.74409,1.41023,0.000679204,0.000679204,0.000679204
55,3623.05,0.69441,0.75818,1.23589,0.93912,0.57443,0.62993,0.51512,0.73496,0.69744,1.30353,0.000665057,0.000665057,0.000665057
56,3687.19,0.6303,0.71884,1.14658,0.91397,0.56352,0.61716,0.49502,0.83332,0.77821,1.45324,0.000650909,0.000650909,0.000650909
57,3748.4,0.67884,0.78676,1.17195,0.91947,0.55792,0.62734,0.51642,0.78684,0.76167,1.37952,0.000636762,0.000636762,0.000636762
58,3817.43,0.63163,0.71487,1.14421,0.9207,0.57777,0.62602,0.52913,0.71412,0.6941,1.2895,0.000622615,0.000622615,0.000622615
59,3890.55,0.62845,0.79843,1.15473,0.8634,0.55082,0.60079,0.48807,0.78656,0.80465,1.34343,0.000608468,0.000608468,0.000608468
60,3953.98,0.59513,0.68392,1.13605,0.8896,0.58566,0.66716,0.55722,0.73663,0.67638,1.3782,0.000594321,0.000594321,0.000594321
61,4020,0.62499,0.68595,1.15248,0.88942,0.57332,0.61527,0.50447,0.77898,0.80122,1.34103,0.000580174,0.000580174,0.000580174
62,4088.42,0.6145,0.66261,1.15056,0.89285,0.59505,0.6529,0.55043,0.72604,0.69462,1.33664,0.000566027,0.000566027,0.000566027
63,4155.71,0.6124,0.78845,1.14478,0.90978,0.6082,0.67276,0.5666,0.70051,0.67068,1.27096,0.00055188,0.00055188,0.00055188
64,4231.11,0.70244,0.81453,1.33064,0.90682,0.61064,0.65448,0.54145,0.77698,0.68023,1.32876,0.000537733,0.000537733,0.000537733
65,4299.3,0.60985,0.66139,1.15442,0.90184,0.61193,0.6509,0.55879,0.70529,0.65081,1.23612,0.000523586,0.000523586,0.000523586
66,4372.65,0.70967,0.65389,1.32624,0.90712,0.60658,0.64247,0.54373,0.6928,0.70782,1.22517,0.000509438,0.000509438,0.000509438
67,4444.91,0.62106,0.64693,1.1546,0.93012,0.59627,0.62508,0.53518,0.69566,0.68975,1.27955,0.000495291,0.000495291,0.000495291
68,4510.83,0.59062,0.6242,1.12492,0.94461,0.58807,0.64088,0.5389,0.71655,0.70566,1.28398,0.000481144,0.000481144,0.000481144
69,4572.1,0.58903,0.71215,1.14096,0.94451,0.59627,0.6433,0.54735,0.70386,0.68778,1.28337,0.000466997,0.000466997,0.000466997
70,4637.61,0.55783,0.67348,1.10146,0.49982,0.8504,0.63883,0.54697,0.69026,0.7207,1.27228,0.00045285,0.00045285,0.00045285
71,4711.29,0.56384,0.64883,1.10006,0.55292,0.85127,0.63337,0.53671,0.72407,0.70932,1.26265,0.000438703,0.000438703,0.000438703
72,4782.72,0.52008,0.69476,1.10555,0.92766,0.60972,0.63933,0.53706,0.73581,0.67873,1.32349,0.000424556,0.000424556,0.000424556
73,4853.86,0.55782,0.57752,1.0911,0.91475,0.59216,0.64174,0.55245,0.66098,0.66793,1.21244,0.000410409,0.000410409,0.000410409
74,4917.66,0.56939,0.65304,1.09536,0.48963,0.8846,0.71499,0.61039,0.71574,0.66082,1.32648,0.000396262,0.000396262,0.000396262
75,4982.96,0.59581,0.63648,1.10268,0.53986,0.87944,0.67181,0.54255,0.74209,0.69299,1.29014,0.000382115,0.000382115,0.000382115
76,5043.93,0.56042,0.59603,1.10683,0.93612,0.58362,0.65019,0.55201,0.71619,0.64759,1.2937,0.000367967,0.000367967,0.000367967
77,5105.86,0.63007,0.62569,1.17437,0.48479,0.88872,0.65553,0.55115,0.70778,0.66259,1.29571,0.00035382,0.00035382,0.00035382
78,5169.5,0.53937,0.64468,1.08867,0.51285,0.89283,0.64876,0.55866,0.69388,0.64259,1.26589,0.000339673,0.000339673,0.000339673
79,5234.21,0.55567,0.62431,1.1099,0.51189,0.88469,0.65956,0.55418,0.69828,0.64327,1.28417,0.000325526,0.000325526,0.000325526
80,5302.69,0.61111,0.61952,1.20066,0.51689,0.8846,0.69069,0.5823,0.69463,0.67626,1.26114,0.000311379,0.000311379,0.000311379
81,5374.09,0.55622,0.63874,1.12457,0.55366,0.87875,0.68238,0.57699,0.68573,0.6639,1.21528,0.000297232,0.000297232,0.000297232
82,5448.59,0.51987,0.58433,1.08127,0.56154,0.81894,0.65275,0.56374,0.68262,0.59405,1.27098,0.000283085,0.000283085,0.000283085
83,5514.44,0.66508,0.6546,1.18389,0.52557,0.80279,0.65901,0.56445,0.64867,0.59744,1.20164,0.000268938,0.000268938,0.000268938
84,5578.14,0.59855,0.68354,1.15784,0.5651,0.82407,0.66748,0.56578,0.66477,0.596,1.23191,0.000254791,0.000254791,0.000254791
85,5652.75,0.55124,0.57919,1.09982,0.5913,0.68698,0.65652,0.56044,0.65555,0.57485,1.25456,0.000240644,0.000240644,0.000240644
86,5716.31,0.5167,0.55867,1.06093,0.63177,0.66939,0.66517,0.56241,0.65372,0.5846,1.20632,0.000226497,0.000226497,0.000226497
87,5776.83,0.49923,0.5552,1.06432,0.6524,0.68872,0.68403,0.58118,0.65511,0.59496,1.23388,0.000212349,0.000212349,0.000212349
88,5838.71,0.52499,0.57553,1.08474,0.70324,0.70145,0.68488,0.57284,0.65289,0.63122,1.20453,0.000198202,0.000198202,0.000198202
89,5905.6,0.53602,0.6311,1.07333,0.69476,0.66229,0.66935,0.57068,0.65172,0.59579,1.25348,0.000184055,0.000184055,0.000184055
90,5972.98,0.49458,0.55346,1.06577,0.75127,0.6413,0.67116,0.56634,0.65703,0.59767,1.2538,0.000169908,0.000169908,0.000169908
91,6068.9,0.42784,0.49615,1.04175,0.66261,0.67052,0.68688,0.57489,0.64356,0.60864,1.18059,0.000155761,0.000155761,0.000155761
92,6142.49,0.40825,0.46667,1.00501,0.63784,0.72836,0.65572,0.56216,0.65421,0.63215,1.2135,0.000141614,0.000141614,0.000141614
93,6206.13,0.406,0.48073,1.02237,0.60773,0.71209,0.65127,0.55594,0.65646,0.61782,1.21279,0.000127467,0.000127467,0.000127467
94,6303.29,0.43754,0.46022,1.06978,0.88501,0.60489,0.681,0.57685,0.61543,0.60643,1.17415,0.00011332,0.00011332,0.00011332
95,6362.38,0.3881,0.54828,1.0053,0.7861,0.62054,0.68115,0.57974,0.63754,0.59764,1.23593,9.91726e-05,9.91726e-05,9.91726e-05
96,6436.67,0.37773,0.42182,0.97976,0.77493,0.61256,0.68011,0.57823,0.62622,0.60134,1.2319,8.50255e-05,8.50255e-05,8.50255e-05
97,6495.21,0.44458,0.47998,1.08044,0.5825,0.72408,0.67948,0.57406,0.62455,0.6071,1.20701,7.08784e-05,7.08784e-05,7.08784e-05
98,6577.39,0.3784,0.50356,1.01392,0.79836,0.6108,0.69232,0.58604,0.62686,0.59858,1.19194,5.67313e-05,5.67313e-05,5.67313e-05
99,6639.74,0.36879,0.39532,0.99883,0.70611,0.62663,0.69113,0.58814,0.6119,0.58901,1.17832,4.25842e-05,4.25842e-05,4.25842e-05
100,6721.58,0.37889,0.49696,1.00699,0.62145,0.69283,0.68898,0.58519,0.60696,0.59395,1.17261,2.84371e-05,2.84371e-05,2.84371e-05
