epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.3535,0.94529,2.20283,1.48781,0.97948,0.07018,0.09589,0.03288,2.6723,6.42798,3.87991,0.00024293,0.00024293,0.00024293
2,137.163,1.04035,1.49705,1.4915,0.00478,0.29151,0.00444,0.00158,2.63153,50.8696,3.82953,0.000495199,0.000495199,0.000495199
3,210.799,1.17636,1.55202,1.55998,0,0,0,0,nan,nan,nan,0.000742374,0.000742374,0.000742374
4,269.937,1.21701,1.44032,1.64274,0,0,0,0,nan,nan,nan,0.000984457,0.000984457,0.000984457
5,339.304,1.19464,1.44578,1.55918,0,0,0,0,nan,nan,nan,0.00122145,0.00122145,0.00122145
6,401.249,1.21365,1.43565,1.56581,0.39722,0.07602,0.03123,0.01453,nan,nan,nan,0.00135826,0.00135826,0.00135826
7,473.563,1.07986,1.28621,1.47598,0.58428,0.22677,0.18357,0.08323,nan,nan,nan,0.00134412,0.00134412,0.00134412
8,539.12,1.15125,1.2819,1.54753,0.00165,0.02339,0.00088,0.00037,nan,nan,nan,0.00132997,0.00132997,0.00132997
9,604.089,1.09938,1.17371,1.50654,0.49715,0.14517,0.119,0.06679,1.85498,4.95797,2.86412,0.00131582,0.00131582,0.00131582
10,669.211,1.01267,1.17783,1.41175,0.43278,0.1031,0.05725,0.03153,2.63436,7.77578,3.59815,0.00130168,0.00130168,0.00130168
11,736.811,1.00718,1.11483,1.40646,0.39959,0.07039,0.03256,0.01702,2.7159,5.08752,3.72233,0.00128753,0.00128753,0.00128753
12,799.187,1.0037,1.17367,1.4045,0.62556,0.09682,0.08858,0.04546,3.07757,3.62526,3.95199,0.00127338,0.00127338,0.00127338
13,865.706,0.99488,1.16123,1.42198,0.7566,0.38315,0.47126,0.33707,1.14697,2.48643,1.97964,0.00125923,0.00125923,0.00125923
14,929.111,0.95961,1.0672,1.37984,0.7788,0.43035,0.49121,0.33684,1.2095,2.5154,2.15713,0.00124509,0.00124509,0.00124509
15,998.436,0.92234,0.97992,1.33592,0.80643,0.47848,0.50178,0.34641,1.23639,1.43207,2.19892,0.00123094,0.00123094,0.00123094
16,1066.1,0.91238,0.99452,1.3732,0.90663,0.5118,0.57604,0.44083,0.97978,1.07597,1.67741,0.00121679,0.00121679,0.00121679
17,1130.29,0.90576,1.0405,1.34365,0.8441,0.44444,0.52651,0.38522,1.03352,1.47754,1.70155,0.00120265,0.00120265,0.00120265
18,1194.22,0.97016,1.04365,1.39633,0.86911,0.53046,0.57119,0.40623,1.067,1.23264,1.82602,0.0011885,0.0011885,0.0011885
19,1254.26,0.89472,0.96378,1.35407,0.87832,0.48761,0.56031,0.42743,0.94186,1.22913,1.5634,0.00117435,0.00117435,0.00117435
20,1317.72,0.88142,0.92688,1.30252,0.82776,0.48948,0.53916,0.40125,1.01582,1.35374,1.65411,0.00116021,0.00116021,0.00116021
21,1388.67,0.88487,1.08502,1.36924,0.80248,0.50942,0.56174,0.42101,0.98952,1.17905,1.63816,0.00114606,0.00114606,0.00114606
22,1455.9,0.85806,0.98665,1.32462,0.85095,0.54924,0.6011,0.4482,0.9346,1.08168,1.54643,0.00113191,0.00113191,0.00113191
23,1518.97,0.82583,0.98189,1.26675,0.83079,0.51517,0.55084,0.41619,0.99672,1.14268,1.60024,0.00111776,0.00111776,0.00111776
24,1582.3,0.96394,0.96957,1.39915,0.87541,0.52623,0.57014,0.43405,1.00804,0.99093,1.84089,0.00110362,0.00110362,0.00110362
25,1651.04,0.80772,0.92618,1.297,0.89919,0.57077,0.60541,0.46669,0.8646,0.92029,1.55221,0.00108947,0.00108947,0.00108947
26,1714.22,0.81666,0.90184,1.27911,0.8756,0.52587,0.61466,0.49104,0.82294,0.95283,1.50754,0.00107532,0.00107532,0.00107532
27,1780.19,0.80162,0.97743,1.27947,0.37732,0.45427,0.44535,0.31752,1.00893,1.39925,1.66961,0.00106118,0.00106118,0.00106118
28,1841.28,0.8532,0.91133,1.3184,0.83186,0.5575,0.59325,0.46189,0.81615,0.98899,1.39104,0.00104703,0.00104703,0.00104703
29,1904.53,0.74168,0.82295,1.23951,0.80231,0.5326,0.56562,0.43954,0.94694,1.06085,1.58881,0.00103288,0.00103288,0.00103288
30,1970.62,0.77592,0.92367,1.23335,0.8689,0.54914,0.583,0.45838,0.92131,0.97681,1.57841,0.00101873,0.00101873,0.00101873
31,2035.05,0.78087,0.84957,1.27871,0.89324,0.54316,0.62445,0.50733,0.81462,0.8948,1.46607,0.00100459,0.00100459,0.00100459
32,2097.85,0.82987,0.856,1.27795,0.80936,0.49272,0.52241,0.38928,1.13367,1.14045,1.92767,0.00099044,0.00099044,0.00099044
33,2166.06,0.72162,0.8474,1.2092,0.8701,0.54819,0.60609,0.47341,0.85382,0.91061,1.45281,0.000976293,0.000976293,0.000976293
34,2236.14,0.76471,0.86373,1.25648,0.90265,0.55233,0.60737,0.47373,0.86023,0.87646,1.41445,0.000962146,0.000962146,0.000962146
35,2302.15,0.73114,0.82787,1.22294,0.88891,0.50809,0.58411,0.45803,1.00263,0.94872,1.74821,0.000947999,0.000947999,0.000947999
36,2370.57,0.75891,0.85773,1.23426,0.89982,0.57223,0.60973,0.48372,0.89649,0.89266,1.51892,0.000933851,0.000933851,0.000933851
37,2441.37,0.69567,0.75236,1.17181,0.91237,0.54992,0.58944,0.43515,1.11073,0.96841,1.82746,0.000919704,0.000919704,0.000919704
38,2508.94,0.70271,0.74871,1.16961,0.91956,0.58578,0.63045,0.50546,0.7497,0.7725,1.35391,0.000905557,0.000905557,0.000905557
39,2581.49,0.70256,0.75943,1.20379,0.88656,0.54931,0.59896,0.47562,0.89878,0.88654,1.46333,0.00089141,0.00089141,0.00089141
40,2651.68,0.69864,0.7687,1.20924,0.90135,0.58792,0.65596,0.53375,0.75815,0.79698,1.35177,0.000877263,0.000877263,0.000877263
41,2716.67,0.68655,0.7523,1.16868,0.91097,0.58745,0.62115,0.5125,0.78906,0.78217,1.40208,0.000863116,0.000863116,0.000863116
42,2780.88,0.72174,0.85905,1.22573,0.85671,0.5183,0.57438,0.44708,0.8947,0.92256,1.46409,0.000848969,0.000848969,0.000848969
43,2845.56,0.7072,0.80649,1.21141,0.92256,0.5575,0.65282,0.52827,0.75759,0.7687,1.35718,0.000834822,0.000834822,0.000834822
44,2911.65,0.81051,1.05982,1.29918,0.91678,0.59293,0.67947,0.54646,0.77486,0.71438,1.34332,0.000820675,0.000820675,0.000820675
45,2981,0.72515,1.01846,1.27721,0.90028,0.58398,0.66206,0.53343,0.80373,0.81802,1.37837,0.000806528,0.000806528,0.000806528
46,3043.14,0.71614,1.00736,1.22423,0.92464,0.57916,0.63994,0.48203,0.89952,0.79536,1.55315,0.00079238,0.00079238,0.00079238
47,3107.02,0.70012,0.75534,1.19221,0.91257,0.6036,0.70399,0.57961,0.70242,0.68842,1.22683,0.000778233,0.000778233,0.000778233
48,3171.47,0.78092,0.90069,1.25796,0.88979,0.59454,0.63804,0.51184,0.78106,0.77888,1.34608,0.000764086,0.000764086,0.000764086
49,3235.45,0.67178,0.72349,1.19465,0.89733,0.55361,0.61822,0.48816,0.79026,0.81355,1.43748,0.000749939,0.000749939,0.000749939
