epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.91587,0.83455,2.97498,1.35753,0.00697,0.93567,0.35614,0.27863,0.64879,2.96689,1.27761,0.00024293,0.00024293,0.00024293
2,7.11359,0.73162,2.34731,1.25623,0.01232,0.93156,0.37572,0.25958,0.79633,2.80374,1.43256,0.000495199,0.000495199,0.000495199
3,10.2593,0.84328,1.82021,1.32047,0.84661,0.32445,0.46038,0.31678,1.05551,2.32302,1.72311,0.000742374,0.000742374,0.000742374
4,13.3015,0.92025,1.68478,1.45914,0.77442,0.36123,0.44193,0.33525,0.97823,2.17431,1.67282,0.000984457,0.000984457,0.000984457
5,16.2431,0.84958,1.49529,1.29722,0.80343,0.49695,0.53257,0.39936,1.02897,1.74316,1.81241,0.00122145,0.00122145,0.00122145
6,19.4368,0.81787,1.45026,1.27649,0.50694,0.50897,0.50432,0.36392,1.09541,1.79424,1.94072,0.00135826,0.00135826,0.00135826
7,22.3336,0.82334,1.33573,1.27111,0.43215,0.49802,0.50402,0.37983,1.05336,1.8078,1.72315,0.00134412,0.00134412,0.00134412
8,25.2619,0.85118,1.29051,1.32178,0.82728,0.53866,0.56126,0.40019,1.1285,1.57674,1.80614,0.00132997,0.00132997,0.00132997
9,28.1744,0.89062,1.2643,1.34692,0.69397,0.33613,0.39706,0.20999,1.40274,1.93554,1.89861,0.00131582,0.00131582,0.00131582
10,31.0915,0.81127,1.19473,1.25176,0.33909,0.45415,0.39142,0.24494,1.42802,1.75648,2.1291,0.00130168,0.00130168,0.00130168
11,33.9901,0.76224,1.13818,1.2259,0.86745,0.5378,0.60966,0.44498,0.97674,1.33967,1.67676,0.00128753,0.00128753,0.00128753
12,36.9338,0.81419,1.19048,1.23584,0.85445,0.36718,0.51597,0.38984,0.88978,1.74839,1.56028,0.00127338,0.00127338,0.00127338
13,39.8554,0.79347,1.18256,1.25962,0.86271,0.50759,0.56675,0.43867,0.91805,1.3061,1.59597,0.00125923,0.00125923,0.00125923
14,42.9281,0.77583,1.10766,1.24289,0.49381,0.70212,0.60808,0.45093,1.01742,1.20892,1.64222,0.00124509,0.00124509,0.00124509
15,45.8098,0.73788,1.0072,1.20647,0.897,0.52718,0.59728,0.46904,0.93238,1.19418,1.73507,0.00123094,0.00123094,0.00123094
16,48.7479,0.7731,1.0237,1.27883,0.85966,0.56943,0.59804,0.45407,0.94242,1.25526,1.50599,0.00121679,0.00121679,0.00121679
17,51.6732,0.76973,1.0473,1.23337,0.84838,0.59802,0.62724,0.4674,0.92382,1.2025,1.4895,0.00120265,0.00120265,0.00120265
18,54.6299,0.77798,1.07633,1.22957,0.88743,0.60147,0.6501,0.50276,0.92004,1.07343,1.42514,0.0011885,0.0011885,0.0011885
19,57.5155,0.734,0.97046,1.21597,0.90745,0.53165,0.61402,0.43273,1.22011,1.25226,1.70112,0.00117435,0.00117435,0.00117435
20,60.4592,0.71518,0.91522,1.16574,0.94918,0.53238,0.62355,0.48401,0.83796,1.03141,1.42057,0.00116021,0.00116021,0.00116021
21,63.3558,0.77233,0.98799,1.23226,0.92535,0.55522,0.6237,0.49406,0.82395,0.96291,1.40902,0.00114606,0.00114606,0.00114606
22,66.3735,0.72413,0.96537,1.19151,0.91367,0.57743,0.63509,0.49182,0.85122,0.92595,1.48704,0.00113191,0.00113191,0.00113191
23,69.1962,0.73101,0.9122,1.18301,0.88318,0.53303,0.61017,0.47612,0.86576,0.97735,1.51375,0.00111776,0.00111776,0.00111776
24,72.1218,0.68987,0.90576,1.17768,0.87695,0.56042,0.63501,0.46924,1.00406,1.08761,1.60965,0.00110362,0.00110362,0.00110362
25,75.0634,0.67081,0.88366,1.17747,0.93093,0.55615,0.6448,0.50031,0.9859,1.16512,1.53139,0.00108947,0.00108947,0.00108947
26,77.9691,0.68934,0.85144,1.17618,0.90392,0.59415,0.64286,0.52091,0.80029,0.91056,1.31594,0.00107532,0.00107532,0.00107532
27,80.8261,0.66066,1.02365,1.16214,0.92578,0.5705,0.63958,0.50498,0.83112,0.86167,1.37423,0.00106118,0.00106118,0.00106118
28,83.8798,0.76543,0.86741,1.22582,0.89955,0.58155,0.64397,0.50604,0.86183,1.10906,1.51366,0.00104703,0.00104703,0.00104703
29,86.7164,0.61766,0.76068,1.13921,0.65645,0.64369,0.6596,0.5378,0.78893,0.86474,1.35207,0.00103288,0.00103288,0.00103288
30,89.6001,0.67408,0.82356,1.15193,0.91966,0.57743,0.66664,0.53455,0.83168,0.84345,1.42607,0.00101873,0.00101873,0.00101873
31,92.4097,0.63284,0.75115,1.14934,0.9542,0.51159,0.62966,0.51667,0.80082,0.90857,1.33106,0.00100459,0.00100459,0.00100459
32,95.3344,0.65868,0.74919,1.12842,0.62445,0.619,0.66827,0.55096,0.80695,0.82049,1.38813,0.00099044,0.00099044,0.00099044
33,98.167,0.63298,0.74221,1.12768,0.53079,0.61221,0.60112,0.47875,0.81609,0.92891,1.41287,0.000976293,0.000976293,0.000976293
34,101.051,0.63555,0.7583,1.14082,0.71382,0.58844,0.64592,0.51075,0.84374,0.92163,1.37602,0.000962146,0.000962146,0.000962146
35,104.033,0.61534,0.73128,1.157,0.61476,0.69516,0.66991,0.52398,0.83056,0.85748,1.44118,0.000947999,0.000947999,0.000947999
36,106.951,0.63688,0.74589,1.11535,0.56697,0.68011,0.64262,0.53601,0.77124,0.80451,1.35309,0.000933851,0.000933851,0.000933851
37,109.808,0.58778,0.67789,1.09398,0.72466,0.68113,0.69619,0.56894,0.75742,0.7451,1.24896,0.000919704,0.000919704,0.000919704
38,112.668,0.60191,0.6634,1.09073,0.53404,0.73028,0.66666,0.55222,0.70208,0.75486,1.23719,0.000905557,0.000905557,0.000905557
39,115.515,0.60617,0.68772,1.11786,0.56359,0.68872,0.63407,0.50615,0.83395,0.86329,1.46323,0.00089141,0.00089141,0.00089141
40,118.401,0.60519,0.67576,1.121,0.63074,0.74714,0.70857,0.57908,0.74293,0.74011,1.27686,0.000877263,0.000877263,0.000877263
41,121.245,0.60839,0.66215,1.09976,0.70317,0.65818,0.69819,0.58609,0.70734,0.72788,1.23551,0.000863116,0.000863116,0.000863116
42,124.208,0.58079,0.72433,1.10358,0.6017,0.72764,0.64062,0.5385,0.7699,0.97677,1.30576,0.000848969,0.000848969,0.000848969
43,127.078,0.60208,0.71145,1.12048,0.57958,0.81286,0.62361,0.51989,0.75885,1.05701,1.34595,0.000834822,0.000834822,0.000834822
44,129.933,0.6905,0.88062,1.21493,0.62858,0.66558,0.64327,0.53445,0.69492,0.83278,1.24224,0.000820675,0.000820675,0.000820675
45,132.824,0.64247,0.72794,1.22976,0.68472,0.58817,0.60919,0.49732,0.75228,0.94959,1.26928,0.000806528,0.000806528,0.000806528
46,135.683,0.66009,0.87257,1.21018,0.72805,0.65287,0.65449,0.53949,0.69402,0.78491,1.22406,0.00079238,0.00079238,0.00079238
47,138.611,0.59557,0.66491,1.10201,0.65343,0.73613,0.67544,0.56251,0.70739,0.6756,1.25286,0.000778233,0.000778233,0.000778233
48,141.577,0.58418,0.6586,1.11002,0.59351,0.75538,0.68321,0.57432,0.69237,0.64614,1.25616,0.000764086,0.000764086,0.000764086
49,144.595,0.53903,0.73592,1.09576,0.86684,0.62549,0.67767,0.55267,0.74321,0.71383,1.32783,0.000749939,0.000749939,0.000749939
50,147.496,0.57885,0.75278,1.11349,0.93709,0.57719,0.64774,0.55875,0.6915,0.81103,1.21082,0.000735792,0.000735792,0.000735792
51,150.358,0.56386,0.61876,1.09359,0.57636,0.69868,0.66218,0.54835,0.71912,0.70352,1.31833,0.000721645,0.000721645,0.000721645
52,153.271,0.53424,0.57801,1.05977,0.87228,0.6413,0.66816,0.57048,0.70509,0.70297,1.25656,0.000707498,0.000707498,0.000707498
53,156.154,0.59192,0.85753,1.14124,0.93387,0.59768,0.63906,0.54523,0.70006,0.70294,1.21968,0.000693351,0.000693351,0.000693351
54,159.003,0.56232,0.63869,1.08592,0.90182,0.59156,0.61786,0.51758,0.71319,0.78507,1.22775,0.000679204,0.000679204,0.000679204
55,161.836,0.53117,0.58933,1.0948,0.78814,0.653,0.66477,0.54429,0.71742,0.76509,1.25977,0.000665057,0.000665057,0.000665057
56,164.779,0.52534,0.5774,1.06398,0.64353,0.6669,0.63644,0.52414,0.70618,0.85916,1.26728,0.000650909,0.000650909,0.000650909
57,167.707,0.53451,0.62981,1.07232,0.71306,0.6821,0.70814,0.59576,0.63862,0.68069,1.17588,0.000636762,0.000636762,0.000636762
58,170.817,0.52105,0.59907,1.0512,0.7337,0.67875,0.6731,0.57036,0.61569,0.65032,1.15225,0.000622615,0.000622615,0.000622615
59,173.958,0.51169,0.5475,1.04834,0.58734,0.68493,0.65306,0.55275,0.65748,0.70724,1.20768,0.000608468,0.000608468,0.000608468
60,176.8,0.49304,0.54347,1.04999,0.54947,0.69701,0.64,0.53884,0.64242,0.70504,1.16787,0.000594321,0.000594321,0.000594321
