epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,179.604,0.50722,0.55259,1.05937,0.58136,0.64918,0.61995,0.52243,0.65763,0.78496,1.20909,0.000580174,0.000580174,0.000580174
62,182.431,0.49649,0.56867,1.04999,0.56995,0.60477,0.60437,0.52221,0.63172,0.79002,1.17959,0.000566027,0.000566027,0.000566027
63,185.325,0.50066,0.5829,1.0579,0.5828,0.59867,0.61829,0.53089,0.60867,0.74067,1.12704,0.00055188,0.00055188,0.00055188
64,188.161,0.5621,0.51026,1.19206,0.90528,0.62542,0.63314,0.53847,0.64378,0.75615,1.18216,0.000537733,0.000537733,0.000537733
65,191.104,0.50689,0.51865,1.10449,0.57439,0.72669,0.64344,0.5378,0.65216,0.72945,1.19564,0.000523586,0.000523586,0.000523586
66,193.98,0.62141,0.54999,1.22984,0.54237,0.67875,0.62299,0.53314,0.68197,0.80706,1.23483,0.000509438,0.000509438,0.000509438
67,196.821,0.50202,0.51634,1.05537,0.60897,0.66848,0.64146,0.54925,0.65985,0.77922,1.22757,0.000495291,0.000495291,0.000495291
68,199.614,0.49775,0.48252,1.0557,0.58545,0.64304,0.62324,0.53881,0.63135,0.7672,1.19069,0.000481144,0.000481144,0.000481144
69,202.591,0.47668,0.55857,1.02926,0.64096,0.65991,0.62631,0.53626,0.6298,0.78132,1.18387,0.000466997,0.000466997,0.000466997
70,205.691,0.46905,0.54757,1.02858,0.58683,0.71382,0.63535,0.55112,0.62556,0.76159,1.19682,0.00045285,0.00045285,0.00045285
71,208.547,0.48426,0.51528,1.03506,0.58278,0.65538,0.63889,0.55996,0.60722,0.77123,1.14566,0.000438703,0.000438703,0.000438703
72,211.405,0.46875,0.76813,1.05579,0.65696,0.64626,0.63643,0.55322,0.60156,0.72499,1.11689,0.000424556,0.000424556,0.000424556
73,214.206,0.4883,0.4682,1.03249,0.57712,0.68872,0.62,0.53131,0.6611,0.85684,1.19655,0.000410409,0.000410409,0.000410409
74,217.16,0.48644,0.47058,1.0292,0.63651,0.61614,0.64922,0.56023,0.62436,0.78031,1.14726,0.000396262,0.000396262,0.000396262
75,220.019,0.50003,0.4527,1.04142,0.70528,0.63115,0.6567,0.56205,0.6356,0.71637,1.17532,0.000382115,0.000382115,0.000382115
76,222.861,0.50332,0.46993,1.04334,0.63368,0.67649,0.65273,0.56443,0.65486,0.72858,1.17636,0.000367967,0.000367967,0.000367967
77,225.77,0.63248,0.63409,1.18943,0.57266,0.67464,0.6342,0.55108,0.612,0.80789,1.13887,0.00035382,0.00035382,0.00035382
78,228.631,0.43472,0.497,1.01799,0.5918,0.61553,0.61687,0.54483,0.63582,0.81934,1.18052,0.000339673,0.000339673,0.000339673
79,231.448,0.49964,0.49753,1.05974,0.71751,0.61762,0.64987,0.57532,0.61116,0.70108,1.14529,0.000325526,0.000325526,0.000325526
80,234.341,0.46846,0.44892,1.0495,0.72354,0.6159,0.67076,0.58942,0.59717,0.67993,1.1309,0.000311379,0.000311379,0.000311379
81,237.096,0.44869,0.45434,1.04622,0.67051,0.66641,0.65703,0.57414,0.58164,0.72587,1.1045,0.000297232,0.000297232,0.000297232
82,239.905,0.41939,0.40746,1.00446,0.60732,0.61661,0.6353,0.55011,0.61949,0.81599,1.16008,0.000283085,0.000283085,0.000283085
83,242.804,0.49765,0.5184,1.091,0.60204,0.68355,0.63672,0.55516,0.58681,0.77444,1.10584,0.000268938,0.000268938,0.000268938
84,245.797,0.51246,0.51442,1.07521,0.59674,0.69045,0.64746,0.5615,0.60742,0.74306,1.11721,0.000254791,0.000254791,0.000254791
85,248.674,0.46394,0.44677,1.02425,0.66705,0.62654,0.64665,0.56069,0.58965,0.70809,1.11661,0.000240644,0.000240644,0.000240644
86,251.514,0.43306,0.40087,1.01058,0.62596,0.67757,0.64267,0.55355,0.58609,0.70944,1.11821,0.000226497,0.000226497,0.000226497
87,254.345,0.41256,0.40302,0.9984,0.63947,0.63495,0.63825,0.55817,0.58606,0.73795,1.11716,0.000212349,0.000212349,0.000212349
88,257.198,0.40989,0.40454,0.99691,0.61118,0.63923,0.63993,0.55222,0.61897,0.80847,1.16508,0.000198202,0.000198202,0.000198202
89,260.032,0.42345,0.45111,0.98787,0.63223,0.605,0.64047,0.55577,0.64726,0.82222,1.19739,0.000184055,0.000184055,0.000184055
90,263.012,0.42211,0.40076,1.00286,0.62399,0.62297,0.64659,0.55831,0.63432,0.80496,1.16741,0.000169908,0.000169908,0.000169908
91,301.179,0.427,0.41547,1.10348,0.67176,0.62006,0.64557,0.55538,0.627,0.74909,1.15187,0.000155761,0.000155761,0.000155761
92,304.039,0.34616,0.34599,0.94443,0.67091,0.64261,0.63904,0.55173,0.63329,0.72667,1.1888,0.000141614,0.000141614,0.000141614
93,306.772,0.33165,0.35589,0.95741,0.66815,0.6413,0.64163,0.55239,0.63515,0.72298,1.19189,0.000127467,0.000127467,0.000127467
94,309.528,0.3396,0.36201,0.9752,0.6114,0.6413,0.63012,0.55129,0.60625,0.76549,1.14265,0.00011332,0.00011332,0.00011332
95,312.308,0.33533,0.4916,0.93982,0.61226,0.6424,0.62973,0.54785,0.59881,0.77364,1.13716,9.91726e-05,9.91726e-05,9.91726e-05
96,315.079,0.31082,0.33745,0.91132,0.61819,0.64378,0.63494,0.55507,0.58505,0.77625,1.12069,8.50255e-05,8.50255e-05,8.50255e-05
97,317.968,0.33749,0.38798,0.9807,0.6413,0.63425,0.63898,0.55843,0.57693,0.75091,1.10793,7.08784e-05,7.08784e-05,7.08784e-05
98,320.773,0.3042,0.67101,0.9365,0.61315,0.64065,0.63647,0.55812,0.57391,0.78651,1.09704,5.67313e-05,5.67313e-05,5.67313e-05
99,323.616,0.29753,0.29584,0.93046,0.63117,0.63415,0.63801,0.56013,0.56864,0.78172,1.09013,4.25842e-05,4.25842e-05,4.25842e-05
100,326.396,0.32942,0.44219,0.95277,0.62877,0.63481,0.63739,0.5588,0.57376,0.78368,1.09593,2.84371e-05,2.84371e-05,2.84371e-05
