epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.2469,0.93938,2.50207,1.45182,0.2647,0.47783,0.30677,0.1831,1.34779,5.82585,2.19598,0.00024293,0.00024293,0.00024293
2,60.0907,0.88951,1.4707,1.39068,0.17521,0.29521,0.17903,0.10216,1.96775,5.50552,3.15352,0.00040112,0.00040112,0.00040112
3,85.4272,0.97605,1.35147,1.42824,0.25649,0.38046,0.32627,0.22106,1.67169,2.5095,3.42756,0.000457451,0.000457451,0.000457451
4,112.458,0.87667,1.13692,1.38574,0.6968,0.36864,0.37758,0.28317,1.54498,2.04815,2.59844,0.000411924,0.000411924,0.000411924
5,2361.12,0.8766,1.08435,1.36098,0.50947,0.55028,0.55439,0.42991,1.04695,1.70745,1.84965,0.000264536,0.000264536,0.000264536
