epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.10288,0.83455,2.97498,1.35753,0.00697,0.93567,0.35614,0.27863,0.64879,2.96689,1.27761,0.00024293,0.00024293,0.00024293
2,11.8634,0.73121,2.36141,1.25698,0.01285,0.91163,0.34643,0.24782,0.80121,2.80873,1.47154,0.000483645,0.000483645,0.000483645
3,15.0071,0.83192,1.92042,1.30859,0.88666,0.13017,0.45129,0.3001,1.16628,2.55974,1.81212,0.000707384,0.000707384,0.000707384
4,17.8772,0.88458,1.73786,1.36969,0.26032,0.21161,0.34784,0.25598,1.13334,2.38882,1.72772,0.000914146,0.000914146,0.000914146
5,20.7329,0.82476,1.49592,1.28606,0.83181,0.51632,0.55109,0.39614,1.0508,1.68641,1.81155,0.00110393,0.00110393,0.00110393
6,23.6099,0.82729,1.4958,1.26835,0.64827,0.49256,0.42999,0.28867,1.09753,1.83557,1.81146,0.00119322,0.00119322,0.00119322
7,26.4115,0.83934,1.34531,1.29175,0.50017,0.46592,0.53334,0.40132,0.96595,1.62361,1.64705,0.00114606,0.00114606,0.00114606
8,29.2391,0.83143,1.32663,1.29298,0.83936,0.48841,0.56753,0.41646,1.0109,1.74783,1.68609,0.0010989,0.0010989,0.0010989
9,32.1168,0.87396,1.26641,1.32802,0.83832,0.46887,0.55761,0.42844,0.9296,1.80864,1.57674,0.00105174,0.00105174,0.00105174
10,35.1122,0.79358,1.22488,1.23667,0.86938,0.54382,0.58175,0.41733,1.09837,1.66816,1.69151,0.00100459,0.00100459,0.00100459
11,37.9158,0.73874,1.14473,1.21474,0.87679,0.53635,0.60009,0.47068,0.87203,1.43348,1.51928,0.00095743,0.00095743,0.00095743
12,40.7564,0.75139,1.16223,1.20999,0.86799,0.54992,0.63743,0.45676,1.03618,1.48871,1.60563,0.000910273,0.000910273,0.000910273
13,43.5489,0.73626,1.14705,1.22157,0.91376,0.57727,0.6077,0.46887,0.91232,1.25054,1.44955,0.000863116,0.000863116,0.000863116
14,46.3835,0.72696,1.0488,1.21491,0.92702,0.57978,0.6172,0.51066,0.85304,1.05721,1.44998,0.000815959,0.000815959,0.000815959
15,49.3312,0.65551,0.9598,1.15409,0.90053,0.58466,0.62361,0.51675,0.78108,1.05238,1.33981,0.000768802,0.000768802,0.000768802
16,52.3439,0.74872,1.04041,1.31454,0.9163,0.55384,0.62035,0.47618,0.8645,1.12955,1.46082,0.000721645,0.000721645,0.000721645
17,55.2921,0.66494,1.05957,1.16616,0.92564,0.55656,0.60946,0.49928,0.76144,1.11801,1.38719,0.000674488,0.000674488,0.000674488
18,58.1472,0.71603,1.03628,1.20215,0.92688,0.57399,0.63305,0.51738,0.75455,1.03054,1.34954,0.000627331,0.000627331,0.000627331
19,61.0499,0.64371,0.93419,1.15886,0.93765,0.56734,0.63148,0.5173,0.73401,0.99613,1.29425,0.000580174,0.000580174,0.000580174
20,63.9556,0.6214,0.88102,1.109,0.56978,0.65127,0.65847,0.5578,0.73109,0.93572,1.26822,0.000533017,0.000533017,0.000533017
21,103.542,0.57621,1.19926,1.14169,0.74036,0.57562,0.58195,0.41944,1.27114,1.44115,1.88418,0.00048586,0.00048586,0.00048586
22,106.63,0.4932,1.01935,1.07436,0.90539,0.55339,0.60947,0.50982,0.70081,1.19909,1.25836,0.000438703,0.000438703,0.000438703
23,109.767,0.47777,0.93212,1.06544,0.9328,0.59311,0.63586,0.52191,0.69935,1.01442,1.23496,0.000391546,0.000391546,0.000391546
24,112.775,0.49431,0.91514,1.06391,0.95888,0.59008,0.64825,0.55082,0.6474,0.9278,1.18863,0.000344389,0.000344389,0.000344389
25,116.141,0.51772,0.90321,1.09367,0.55398,0.78009,0.65413,0.54992,0.66888,0.99318,1.20812,0.000297232,0.000297232,0.000297232
26,119.155,0.45128,0.82859,1.00155,0.57092,0.7419,0.66372,0.54153,0.69342,0.93765,1.22344,0.000250075,0.000250075,0.000250075
27,122.091,0.51333,0.85406,1.0701,0.59404,0.85712,0.66981,0.54863,0.68813,0.90024,1.22498,0.000202918,0.000202918,0.000202918
28,125.052,0.53633,0.82922,1.12429,0.56743,0.82728,0.66085,0.55205,0.66507,0.85014,1.20237,0.000155761,0.000155761,0.000155761
29,127.995,0.42535,0.75815,1.02953,0.56851,0.79868,0.67469,0.56262,0.65988,0.78813,1.20697,0.000108604,0.000108604,0.000108604
30,130.983,0.39015,0.75283,1.00058,0.55524,0.86535,0.67599,0.56988,0.66005,0.78646,1.20654,6.1447e-05,6.1447e-05,6.1447e-05
